order_id,order_date,customer_id,region,city,product,category,quantity,unit_price,discount
ORD0001,2025-11-09,CUST005,West,Mumbai,Monitor,Electronics,1.0,220,0.0
ORD0002,2025-08-30,CUST075,East,Kolkata,Headphones,Accessories,7.0,80,0.0
ORD0003,2025-08-22,CUST119,South,Hyderabad,Printer,Office Equipment,1.0,180,0.0
ORD0004,2025-05-29,CUST120,West,Mumbai,Headphones,Accessories,1.0,80,0.0
ORD0005,2025-02-20,CUST057,East,Kolkata,Printer,Office Equipment,3.0,180,0.1
ORD0006,2025-10-19,CUST113,North,Delhi,Printer,Office Equipment,4.0,180,0.05
ORD0007,2025-09-29,CUST007,East,Kolkata,Laptop,Electronics,3.0,650,0.0
ORD0008,2025-05-14,CUST070,South,Chennai,Laptop,Electronics,7.0,650,0.1
ORD0009,2025-10-14,CUST077,East,Patna,Headphones,Accessories,2.0,80,0.1
ORD0010,2025-06-10,CUST113,East,Bhubaneswar,Keyboard,Accessories,6.0,45,0.1
ORD0011,2025-02-03,CUST009,West,Ahmedabad,Monitor,Electronics,3.0,220,0.1
ORD0012,2025-05-07,CUST108,South,Bengaluru,Laptop,Electronics,2.0,650,0.0
ORD0013,2025-01-19,CUST040,West,Pune,Printer,Office Equipment,7.0,180,0.05
ORD0014,2025-12-19,CUST058,East,Bhubaneswar,Keyboard,Accessories,1.0,45,0.0
ORD0015,2025-01-28,CUST034,South, Mumbai ,Mouse,Accessories,1.0,25,0.05
ORD0016,2025-12-12,CUST082,South,Hyderabad,Keyboard,Accessories,4.0,45,0.0
ORD0017,2025-02-03,CUST012,South,Chennai,Monitor,Electronics,7.0,220,0.0
ORD0018,2025-05-06,CUST082,North,Chandigarh,Printer,Office Equipment,6.0,180,0.0
ORD0019,2025-04-05,CUST039,West,Ahmedabad,Headphones,Accessories,5.0,80,0.1
ORD0020,2025-08-09,CUST081,South,Chennai,Monitor,Electronics,6.0,220,0.15
ORD0021,2025-11-26,CUST069,East,Kolkata,Mouse,Accessories,1.0,25,0.0
ORD0022,2025-06-08,CUST079,North,Chandigarh,Laptop,Electronics,7.0,650,0.1
ORD0023,2025-07-01,CUST001,North,Chandigarh,Keyboard,Accessories,1.0,45,0.0
ORD0024,2025-12-31,CUST011,East,Bhubaneswar,Mouse,Accessories,4.0,25,0.0
ORD0025,2025-08-25,CUST036,North,Jaipur,Printer,Office Equipment,3.0,180,0.0
ORD0026,2025-08-06,CUST019,West,Ahmedabad,Laptop,Electronics,7.0,650,0.05
ORD0027,2025-12-24,CUST013,East,Bhubaneswar,Mouse,Accessories,6.0,25,0.05
ORD0028,2025-04-11,CUST004,South,Hyderabad,Keyboard,Accessories,6.0,45,0.05
ORD0029,2025-06-17,CUST012,East,Kolkata,Mouse,Accessories,3.0,25,0.05
ORD0030,2025-08-07,CUST086,South,Bengaluru,Mouse,Accessories,6.0,25,0.0
ORD0031,2025-01-03,CUST080,West,Mumbai,Keyboard,Accessories,4.0,45,0.05
ORD0032,2025-12-10,CUST115,West,Ahmedabad,Monitor,Electronics,1.0,220,0.1
ORD0033,2025-05-19,CUST104,South,Bengaluru,Monitor,Electronics,7.0,220,0.0
ORD0034,2025-11-07,CUST087,South,Chennai,Monitor,Electronics,3.0,220,0.0
ORD0035,2025-07-31,CUST109,West,Pune,Printer,Office Equipment,4.0,180,0.0
ORD0036,2025-03-04,CUST026,North,Jaipur,Monitor,Electronics,1.0,220,0.05
ORD0037,2025-12-11,CUST076,East,Bhubaneswar,Keyboard,Accessories,7.0,45,0.1
ORD0038,2025-10-17,CUST099,East,Bhubaneswar,Laptop,Electronics,2.0,650,0.1
ORD0039,2025-05-29,CUST078, north ,Mumbai,Keyboard,Accessories,4.0,45,0.0
ORD0040,2025-08-30,CUST038,North,Delhi,Laptop,Electronics,5.0,650,0.1
ORD0041,2025-03-15,CUST048,South,Chennai,Mouse,Accessories,5.0,25,0.0
ORD0042,2025-09-11,CUST031,South,Hyderabad,Printer,Office Equipment,4.0,180,0.1
ORD0043,2025-11-29,CUST088,South,Hyderabad,Monitor,Electronics,6.0,220,0.0
ORD0044,2025-07-05,CUST030,North,Chandigarh,Keyboard,Accessories,3.0,45,0.1
ORD0045,2025-08-28,CUST024,East,Bhubaneswar,Headphones,Accessories,3.0,80,0.0
ORD0046,2025-05-14,CUST081,West,Pune,Printer,Office Equipment,1.0,180,0.15
ORD0047,2025-07-02,CUST109,East,Patna,Monitor,Electronics,4.0,220,0.0
